offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,avg_send_time,avg_recv_time,system_clock_time
35.8621,4.00004,32,100,20,32,0.0016,4889,601.595,379.031,800
37.4567,4.00004,32,100,20,32,0.0032,10105,551.885,339.418,800
0.232842,4.00004,32,100,20,64,0.0001,57,1280.7,339.62,1300
0.310402,4.00004,32,100,20,64,0.0002,136,1091.91,352.721,1000
5.34,4.00004,32,100,20,64,0.0004,407,855.528,392.473,900
34.7232,4.00004,32,100,20,64,0.0008,1661,671.764,364.82,1300
36.9619,4.00004,32,100,20,64,0.0016,4868,594.248,366.897,900
39.4395,4.00004,32,100,20,64,0.0032,10291,541.493,303.154,800
0.441027,4.00004,32,100,30,1,0.0001,91,1185.71,297.564,1000
1.00464,4.00004,32,100,30,1,0.0002,168,1051.79,508.373,900
20.9324,4.00004,32,100,30,1,0.0004,575,819.652,373.13,800
32.6952,4.00004,32,100,30,1,0.0008,1972,723.327,498.263,800
39.1193,4.00004,32,100,30,1,0.0016,5141,629.08,341.905,800
37.5343,4.00004,32,100,30,1,0.0032,10183,570.618,325.052,800
0.483644,4.00004,32,100,30,2,0.0001,69,1217.39,461.232,1500
0.656951,4.00004,32,100,30,2,0.0002,169,1164.5,357.85,1000
23.3092,4.00004,32,100,30,2,0.0004,863,770.8,382.395,900
31.4151,4.00004,32,100,30,2,0.0008,2264,677.518,413.649,800
37.0917,4.00004,32,100,30,2,0.0016,5018,623.216,365.866,800
39.4038,4.00004,32,100,30,2,0.0032,10381,584.173,365.527,800
0.284424,4.00004,32,100,30,4,0.0001,70,1235.71,376.667,1300
8.42713,4.00004,32,100,30,4,0.0002,211,994.787,365.403,1100
20.0234,4.00004,32,100,30,4,0.0004,537,903.538,424.798,1000
33.5057,4.00004,32,100,30,4,0.0008,2205,718.776,424.327,900
37.0641,4.00004,32,100,30,4,0.0016,5145,621.749,375.439,900
37.5514,4.00004,32,100,30,4,0.0032,10155,575.687,345.718,800
0.385134,4.00004,32,100,30,8,0.0001,83,1292.77,344.98,1000
0.898529,4.00004,32,100,30,8,0.0002,164,1042.07,414.593,800
18.7778,4.00004,32,100,30,8,0.0004,681,849.486,427.335,1100
35.0987,4.00004,32,100,30,8,0.0008,2258,705.802,412.983,1000
38.9486,4.00004,32,100,30,8,0.0016,5165,581.433,365.34,900
37.5194,4.00004,32,100,30,8,0.0032,10072,575.784,355.316,800
0.351375,4.00004,32,100,30,16,0.0001,83,1238.55,391.566,1100
0.621366,4.00004,32,100,30,16,0.0002,125,1102.4,385.787,1000
24.3264,4.00004,32,100,30,16,0.0004,509,803.536,407.434,800
37.5209,4.00004,32,100,30,16,0.0008,2106,730.864,492.914,800
38.946,4.00004,32,100,30,16,0.0016,5161,609.649,379.392,900
39.5212,4.00004,32,100,30,16,0.0032,10206,562.542,337.89,800
0.254133,4.00004,32,100,30,32,0.0001,74,1267.57,432.545,1200
1.94836,4.00004,32,100,30,32,0.0002,202,1083.17,503.867,1300
12.7,4.00004,32,100,30,32,0.0004,451,858.537,376.511,1000
32.9881,4.00004,32,100,30,32,0.0008,2121,673.22,407.445,900
37.0984,4.00004,32,100,30,32,0.0016,5282,610.621,389.269,800
37.5617,4.00004,32,100,30,32,0.0032,10289,551.579,329.192,800
0.387939,4.00004,32,100,30,64,0.0001,59,1294.92,328.249,1100
2.23829,4.00004,32,100,30,64,0.0002,159,1022.01,421.698,900
13.5591,4.00004,32,100,30,64,0.0004,575,847.478,427.209,900
34.7644,4.00004,32,100,30,64,0.0008,2027,682.634,402.402,2000
37.0081,4.00004,32,100,30,64,0.0016,5112,663.85,369.648,900
37.5132,4.00004,32,100,30,64,0.0032,10382,592.246,327.426,800
0.767817,4.00004,32,100,40,1,0.0001,62,7564.52,411.398,1400
3.73326,4.00004,32,100,40,1,0.0002,241,1462.24,520.529,1200
28.5043,4.00004,32,100,40,1,0.0004,542,1417.9,720.372,1300
37.8912,4.00004,32,100,40,1,0.0008,2499,843.818,464.709,800
36.8373,4.00004,32,100,40,1,0.0016,5056,748.2,450.218,900
39.5449,4.00004,32,100,40,1,0.0032,10425,588.336,344.489,800
0.665251,4.00004,32,100,40,2,0.0001,106,1339.62,462.925,1000
5.37342,4.00004,32,100,40,2,0.0002,243,954.733,361.18,1300
24.4192,4.00004,32,100,40,2,0.0004,744,851.747,454.317,900
36.3042,4.00004,32,100,40,2,0.0008,2441,693.978,369.773,900
37.088,4.00004,32,100,40,2,0.0016,5117,623.197,344.512,900
37.4585,4.00004,32,100,40,2,0.0032,10147,563.29,329.057,800
1.25255,4.00004,32,100,40,4,0.0001,99,1187.88,381.818,1400
1.96042,4.00004,32,100,40,4,0.0002,205,1223.9,624.593,1100
30.5287,4.00004,32,100,40,4,0.0004,798,795.489,416.892,800
