offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,offsetscount,counterscount,maxOffset,maxCounter
17.9034,0.00546,32,200,5,32,0.004,12800,57290776,17472,199,1
30.3653,0.00755625,32,200,5,32,0.008,25765,97169063,24180,199,2
31.8854,0.0163684,32,200,5,32,0.016,51666,102033224,52379,199,2
31.9382,0.0322791,32,200,5,32,0.032,102500,102202376,103293,142,3
1.75709,0.14827,32,200,5,64,0.001,976,5622680,474463,199,14
4.90194,0.0257738,32,200,5,64,0.002,4138,15686217,82476,199,4
15.3118,0.00431094,32,200,5,64,0.004,12886,48997709,13795,199,1
28.8858,0.00837406,32,200,5,64,0.008,25754,92434511,26797,199,2
31.8499,0.016655,32,200,5,64,0.016,51200,101919693,53296,199,2
31.9115,0.03199,32,200,5,64,0.032,102511,102116845,102368,165,3
1.89823,0.133384,32,200,5,128,0.001,1177,6074332,426830,199,8
4.42051,0.0188269,32,200,5,128,0.002,4235,14145626,60246,199,6
11.1175,0.0045875,32,200,5,128,0.004,12456,35575970,14680,199,1
24.0311,0.00783281,32,200,5,128,0.008,25403,76899627,25065,199,2
31.5515,0.0165269,32,200,5,128,0.016,51249,100964755,52886,199,2
31.8718,0.0323056,32,200,5,128,0.032,102248,101989757,103378,199,3
2.02208,0.124658,32,250,4,1,0.001,1129,6470665,398906,249,10
5.97975,0.0234706,32,250,4,1,0.002,4622,19135201,75106,249,4
19.1464,0.0126572,32,250,4,1,0.004,12744,61268558,40503,249,2
31.0372,0.0157459,32,250,4,1,0.008,25349,99319016,50387,249,2
31.9241,0.0215762,32,250,4,1,0.016,51210,102156983,69044,249,2
31.9633,0.0336981,32,250,4,1,0.032,102248,102282621,107834,141,2
1.93598,0.145291,32,250,4,2,0.001,1079,6195129,464930,249,5
5.89535,0.0309003,32,250,4,2,0.002,4453,18865125,98881,249,5
19.1866,0.0109553,32,250,4,2,0.004,12650,61397160,35057,249,1
30.9682,0.0106984,32,250,4,2,0.008,25480,99098238,34235,249,2
31.9196,0.0164794,32,250,4,2,0.016,51145,102142655,52734,249,2
31.957,0.0281962,32,250,4,2,0.032,102607,102262362,90228,188,3
1.86542,0.155156,32,250,4,4,0.001,954,5969353,496499,249,18
6.30934,0.0207912,32,250,4,4,0.002,4738,20189884,66532,249,5
19.4105,0.0103609,32,250,4,4,0.004,12914,62113676,33155,249,2
31.0265,0.005755,32,250,4,4,0.008,25690,99284922,18416,249,2
31.9198,0.0131816,32,250,4,4,0.016,51071,102143323,42181,249,2
31.9621,0.02495,32,250,4,4,0.032,102027,102278585,79840,178,2
1.92081,0.147132,32,250,4,8,0.001,1015,6146588,470821,249,7
5.80836,0.0256338,32,250,4,8,0.002,4448,18586741,82028,249,4
19.3269,0.0100491,32,250,4,8,0.004,12747,61846121,32157,249,1
30.8703,0.00611687,32,250,4,8,0.008,25523,98784982,19574,249,2
31.9261,0.0121272,32,250,4,8,0.016,51302,102163424,38807,249,2
31.9509,0.02399,32,250,4,8,0.032,102792,102242746,76768,186,3
2.05137,0.12728,32,250,4,16,0.001,1249,6564386,407295,249,8
5.93054,0.0223547,32,250,4,16,0.002,4721,18977722,71535,249,5
18.4313,0.00869188,32,250,4,16,0.004,12700,58980271,27814,249,1
30.6993,0.00584875,32,250,4,16,0.008,25623,98237858,18716,249,2
31.8998,0.0122637,32,250,4,16,0.016,51143,102079477,39244,249,2
31.9463,0.0247569,32,250,4,16,0.032,102162,102228107,79222,181,3
2.12359,0.118063,32,250,4,32,0.001,1192,6795489,377802,249,5
5.86502,0.0151869,32,250,4,32,0.002,4826,18768057,48598,249,3
17.0614,0.00737375,32,250,4,32,0.004,12606,54596585,23596,249,1
30.13,0.00626844,32,250,4,32,0.008,25450,96415904,20059,249,1
31.8872,0.0116641,32,250,4,32,0.016,51096,102039119,37325,249,2
31.9377,0.0239,32,250,4,32,0.032,102195,102200747,76480,196,2
1.8024,0.17185,32,250,4,64,0.001,1007,5767676,549921,249,4
5.24496,0.0186869,32,250,4,64,0.002,4673,16783855,59798,249,7
14.9334,0.00430937,32,250,4,64,0.004,12644,47786913,13790,249,1
28.7699,0.00639375,32,250,4,64,0.008,25653,92063726,20460,249,2
31.8417,0.012375,32,250,4,64,0.016,51363,101893365,39600,249,2
31.9096,0.0249072,32,250,4,64,0.032,102308,102110805,79703,224,3
1.92646,0.111067,32,250,4,128,0.001,1232,6164673,355415,249,8
4.83036,0.00644844,32,250,4,128,0.002,4967,15457137,20635,249,3
11.4105,0.003475,32,250,4,128,0.004,12765,36513550,11120,249,2
23.8472,0.00648563,32,250,4,128,0.008,25275,76311108,20754,249,1
31.5182,0.0126547,32,250,4,128,0.016,51270,100858160,40495,249,2
31.8693,0.0245266,32,250,4,128,0.032,102455,101981804,78485,249,3
2.16359,0.123361,32,500,2,1,0.001,1154,6923497,394755,499,11
5.86069,0.0225981,32,500,2,1,0.002,4411,18754201,72314,499,5
19.1377,0.00907281,32,500,2,1,0.004,12292,61240570,29033,499,1
31.152,0.00551969,32,500,2,1,0.008,25786,99686303,17663,499,1
31.9177,0.00724406,32,500,2,1,0.016,50778,102136790,23181,499,1
31.9621,0.0118666,32,500,2,1,0.032,102760,102278824,37973,314,1
1.93951,0.15799,32,500,2,2,0.001,1096,6206438,505569,499,4
5.92743,0.0185863,32,500,2,2,0.002,4686,18967782,59476,499,5
19.5178,0.00811062,32,500,2,2,0.004,12723,62457036,25954,499,1
31.0542,0.00172844,32,500,2,2,0.008,25529,99373498,5531,499,1
31.9177,0.00430906,32,500,2,2,0.016,51148,102136666,13789,499,1
31.9614,0.00797969,32,500,2,2,0.032,102766,102276593,25535,299,1
1.92917,0.127686,32,500,2,4,0.001,1112,6173356,408594,499,7
6.12052,0.0255737,32,500,2,4,0.002,4639,19585669,81836,499,7
19.4421,0.00923531,32,500,2,4,0.004,12835,62214778,29553,499,1
30.9998,0.00175375,32,500,2,4,0.008,25478,99199427,5612,499,1
31.9141,0.0042475,32,500,2,4,0.016,51169,102125009,13592,499,1
31.9559,0.00801219,32,500,2,4,0.032,101976,102258802,25639,296,1
1.78397,0.171239,32,500,2,8,0.001,862,5708716,547964,499,12
5.5271,0.0250656,32,500,2,8,0.002,4183,17686725,80210,499,5
19.5398,0.00416812,32,500,2,8,0.004,12737,62527398,13338,499,1
30.8954,0.00306875,32,500,2,8,0.008,25368,98865152,9820,499,1
31.912,0.00398219,32,500,2,8,0.016,51267,102118480,12743,499,1
31.9576,0.00837906,32,500,2,8,0.032,101896,102264279,26813,347,1
1.69793,0.179864,32,500,2,16,0.001,857,5433370,575566,499,7
5.98746,0.0171522,32,500,2,16,0.002,4717,19159870,54887,499,4
18.6975,0.00426344,32,500,2,16,0.004,12864,59831951,13643,499,1
30.7163,0.00221344,32,500,2,16,0.008,25543,98292018,7083,499,1
31.906,0.00409687,32,500,2,16,0.016,51362,102099055,13110,499,1
31.9479,0.00863469,32,500,2,16,0.032,102057,102233418,27631,352,1
1.91946,0.123201,32,500,2,32,0.001,1144,6142285,394244,499,9
5.63755,0.019455,32,500,2,32,0.002,4677,18040145,62256,499,5
17.406,0.003935,32,500,2,32,0.004,12882,55699175,12592,499,1
30.2694,0.00247469,32,500,2,32,0.008,25600,96862161,7919,499,1
31.8894,0.00395219,32,500,2,32,0.016,51004,102046025,12647,499,1
31.933,0.00836562,32,500,2,32,0.032,102706,102185498,26770,426,1
1.96667,0.143116,32,500,2,64,0.001,1295,6293330,457970,499,11
5.28869,0.0185591,32,500,2,64,0.002,4687,16923805,59389,499,5
15.3257,0.00230656,32,500,2,64,0.004,12804,49042206,7381,499,1
28.8156,0.00191063,32,500,2,64,0.008,25696,92209884,6114,499,1
31.8631,0.004045,32,500,2,64,0.016,51177,101962053,12944,499,1
31.9106,0.00902687,32,500,2,64,0.032,102170,102113772,28886,427,1
1.84615,0.107121,32,500,2,128,0.001,1210,5907684,342787,499,7
4.51382,0.0160006,32,500,2,128,0.002,4623,14444230,51202,499,3
11.463,0.00126094,32,500,2,128,0.004,12865,36681740,4035,499,1
24.1945,0.00226562,32,500,2,128,0.008,25752,77422469,7250,499,1
31.564,0.00438906,32,500,2,128,0.016,51627,101004915,14045,499,1
31.8711,0.00893906,32,500,2,128,0.032,101981,101987681,28605,497,2
1.76582,0.0955647,32,500,2,256,0.001,1203,5650626,305807,499,6
3.49357,0.00737781,32,500,2,256,0.002,4932,11179434,23609,499,2
6.86892,0.000989688,32,500,2,256,0.004,12653,21980546,3167,499,1
13.486,0.00172969,32,500,2,256,0.008,25555,43155143,5535,499,1
25.0139,0.00415656,32,500,2,256,0.016,51217,80044340,13301,499,1
31.5081,0.00792313,32,500,2,256,0.032,102539,100825898,25354,499,1
1.9143,0.164469,32,1000,1,1,0.001,1111,6125746,526302,999,6
5.90434,0.0163506,32,1000,1,1,0.002,4434,18893876,52322,999,4
18.8238,0.00832125,32,1000,1,1,0.004,12472,60236028,26628,999,1
31.0585,0,32,1000,1,1,0.008,25301,99387247,0,999,0
31.9238,0,32,1000,1,1,0.016,51108,102156146,0,998,0
31.9587,0,32,1000,1,1,0.032,102071,102267748,0,650,0
2.01197,0.124312,32,1000,1,2,0.001,1170,6438289,397799,999,6
6.31203,0.0164706,32,1000,1,2,0.002,4672,20198494,52706,999,2
20.2091,0.00667437,32,1000,1,2,0.004,13041,64669087,21358,999,1
31.0247,0,32,1000,1,2,0.008,25656,99278918,0,999,0
31.9259,1.5625e-06,32,1000,1,2,0.016,50977,102162847,5,999,1
31.9587,1.125e-05,32,1000,1,2,0.032,102079,102267813,36,639,1
1.78233,0.162736,32,1000,1,4,0.001,943,5703457,520754,999,9
6.35397,0.0263522,32,1000,1,4,0.002,4704,20332707,84327,999,6
19.0086,0.00400219,32,1000,1,4,0.004,12477,60827373,12807,999,2
